2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 23, oldScore: 0.0022153, newScore: 5.053216254447363E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 22, oldScore: 0.0013549, newScore: 3.0456238688097824E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 25, oldScore: 0.0112695, newScore: 0.023906686505916493, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 27, oldScore: 0.0054321, newScore: 0.0013379872009820345, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 26, oldScore: 0.006381, newScore: 0.09867059420622958, minExpiry: 02/17/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 29, oldScore: 1.918E-4, newScore: 1.4425553737806938E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 31, oldScore: 0.0016443, newScore: 0.0011482125246397243, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 34, oldScore: 0.0170586, newScore: 0.009821373368813714, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 35, oldScore: 0.0032427, newScore: 0.004656610359691172, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 32, oldScore: 0.0114906, newScore: 0.012440739189481671, minExpiry: 02/17/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 33, oldScore: 0.0205862, newScore: 0.006718761553646666, minExpiry: 02/17/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 36, oldScore: 0.0011125, newScore: 0.0013453573020743438, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 37, oldScore: 6.104E-4, newScore: 0.005963004262798193, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 42, oldScore: 0.0535937, newScore: 0.008825021913523023, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 43, oldScore: 0.0746694, newScore: 0.045422988107544186, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 41, oldScore: 0.0550575, newScore: 0.0054190552243992, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 46, oldScore: 0.0431915, newScore: 0.001025447707614939, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 47, oldScore: 0.0015731, newScore: 9.671976719082009E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 44, oldScore: 0.0077455, newScore: 0.04067953673361921, minExpiry: 02/17/2015, maxExpiry: 02/18/2015, source: NPOS
